"Attribute";"Weight"
"AAcomp_A";0.0
"AAcomp_R";0.0
"AAcomp_N";0.0
"AAcomp_D";1.0
"AAcomp_C";1.0
"AAcomp_Q";1.0
"AAcomp_E";1.0
"AAcomp_G";0.0
"AAcomp_H";1.0
"AAcomp_I";0.0
"AAcomp_L";1.0
"AAcomp_K";0.0
"AAcomp_M";1.0
"AAcomp_F";1.0
"AAcomp_P";1.0
"AAcomp_S";1.0
"AAcomp_T";1.0
"AAcomp_W";1.0
"AAcomp_Y";1.0
"AAcomp_V";1.0
"AAcomp_AA";0.0
"AAcomp_AR";1.0
"AAcomp_AN";0.0
"AAcomp_AD";0.0
"AAcomp_AC";0.0
"AAcomp_AQ";0.0
"AAcomp_AE";0.0
"AAcomp_AG";0.0
"AAcomp_AH";1.0
"AAcomp_AI";1.0
"AAcomp_AL";1.0
"AAcomp_AK";1.0
"AAcomp_AM";0.0
"AAcomp_AF";0.0
"AAcomp_AP";1.0
"AAcomp_AS";0.0
"AAcomp_AT";0.0
"AAcomp_AW";0.0
"AAcomp_AY";1.0
"AAcomp_AV";1.0
"AAcomp_RA";0.0
"AAcomp_RR";1.0
"AAcomp_RN";0.0
"AAcomp_RD";1.0
"AAcomp_RC";1.0
"AAcomp_RQ";1.0
"AAcomp_RE";1.0
"AAcomp_RG";0.0
"AAcomp_RH";0.0
"AAcomp_RI";1.0
"AAcomp_RL";1.0
"AAcomp_RK";0.0
"AAcomp_RM";1.0
"AAcomp_RF";1.0
"AAcomp_RP";1.0
"AAcomp_RS";1.0
"AAcomp_RT";0.0
"AAcomp_RW";1.0
"AAcomp_RY";0.0
"AAcomp_RV";0.0
"AAcomp_NA";1.0
"AAcomp_NR";0.0
"AAcomp_NN";0.0
"AAcomp_ND";0.0
"AAcomp_NC";0.0
"AAcomp_NQ";0.0
"AAcomp_NE";0.0
"AAcomp_NG";0.0
"AAcomp_NH";0.0
"AAcomp_NI";0.0
"AAcomp_NL";0.0
"AAcomp_NK";1.0
"AAcomp_NM";1.0
"AAcomp_NF";1.0
"AAcomp_NP";0.0
"AAcomp_NS";1.0
"AAcomp_NT";1.0
"AAcomp_NW";1.0
"AAcomp_NY";1.0
"AAcomp_NV";1.0
"AAcomp_DA";0.0
"AAcomp_DR";1.0
"AAcomp_DN";1.0
"AAcomp_DD";0.0
"AAcomp_DC";0.0
"AAcomp_DQ";0.0
"AAcomp_DE";0.0
"AAcomp_DG";1.0
"AAcomp_DH";0.0
"AAcomp_DI";1.0
"AAcomp_DL";1.0
"AAcomp_DK";0.0
"AAcomp_DM";0.0
"AAcomp_DF";0.0
"AAcomp_DP";1.0
"AAcomp_DS";0.0
"AAcomp_DT";0.0
"AAcomp_DW";1.0
"AAcomp_DY";0.0
"AAcomp_DV";1.0
"AAcomp_CA";0.0
"AAcomp_CR";1.0
"AAcomp_CN";0.0
"AAcomp_CD";1.0
"AAcomp_CC";0.0
"AAcomp_CQ";0.0
"AAcomp_CE";1.0
"AAcomp_CG";0.0
"AAcomp_CH";0.0
"AAcomp_CI";1.0
"AAcomp_CL";0.0
"AAcomp_CK";0.0
"AAcomp_CM";0.0
"AAcomp_CF";1.0
"AAcomp_CP";1.0
"AAcomp_CS";0.0
"AAcomp_CT";1.0
"AAcomp_CW";1.0
"AAcomp_CY";0.0
"AAcomp_CV";0.0
"AAcomp_QA";0.0
"AAcomp_QR";0.0
"AAcomp_QN";1.0
"AAcomp_QD";1.0
"AAcomp_QC";1.0
"AAcomp_QQ";0.0
"AAcomp_QE";1.0
"AAcomp_QG";1.0
"AAcomp_QH";1.0
"AAcomp_QI";1.0
"AAcomp_QL";0.0
"AAcomp_QK";1.0
"AAcomp_QM";1.0
"AAcomp_QF";1.0
"AAcomp_QP";0.0
"AAcomp_QS";1.0
"AAcomp_QT";0.0
"AAcomp_QW";0.0
"AAcomp_QY";1.0
"AAcomp_QV";1.0
"AAcomp_EA";1.0
"AAcomp_ER";0.0
"AAcomp_EN";1.0
"AAcomp_ED";0.0
"AAcomp_EC";1.0
"AAcomp_EQ";0.0
"AAcomp_EE";0.0
"AAcomp_EG";0.0
"AAcomp_EH";1.0
"AAcomp_EI";0.0
"AAcomp_EL";1.0
"AAcomp_EK";0.0
"AAcomp_EM";0.0
"AAcomp_EF";1.0
"AAcomp_EP";1.0
"AAcomp_ES";1.0
"AAcomp_ET";0.0
"AAcomp_EW";1.0
"AAcomp_EY";1.0
"AAcomp_EV";1.0
"AAcomp_GA";0.0
"AAcomp_GR";1.0
"AAcomp_GN";0.0
"AAcomp_GD";1.0
"AAcomp_GC";0.0
"AAcomp_GQ";0.0
"AAcomp_GE";1.0
"AAcomp_GG";1.0
"AAcomp_GH";1.0
"AAcomp_GI";0.0
"AAcomp_GL";1.0
"AAcomp_GK";1.0
"AAcomp_GM";1.0
"AAcomp_GF";0.0
"AAcomp_GP";0.0
"AAcomp_GS";1.0
"AAcomp_GT";1.0
"AAcomp_GW";1.0
"AAcomp_GY";1.0
"AAcomp_GV";1.0
"AAcomp_HA";0.0
"AAcomp_HR";0.0
"AAcomp_HN";0.0
"AAcomp_HD";0.0
"AAcomp_HC";0.0
"AAcomp_HQ";0.0
"AAcomp_HE";1.0
"AAcomp_HG";1.0
"AAcomp_HH";1.0
"AAcomp_HI";1.0
"AAcomp_HL";0.0
"AAcomp_HK";1.0
"AAcomp_HM";1.0
"AAcomp_HF";0.0
"AAcomp_HP";1.0
"AAcomp_HS";1.0
"AAcomp_HT";1.0
"AAcomp_HW";0.0
"AAcomp_HY";1.0
"AAcomp_HV";1.0
"AAcomp_IA";0.0
"AAcomp_IR";0.0
"AAcomp_IN";0.0
"AAcomp_ID";1.0
"AAcomp_IC";1.0
"AAcomp_IQ";0.0
"AAcomp_IE";0.0
"AAcomp_IG";1.0
"AAcomp_IH";0.0
"AAcomp_II";1.0
"AAcomp_IL";1.0
"AAcomp_IK";0.0
"AAcomp_IM";0.0
"AAcomp_IF";0.0
"AAcomp_IP";0.0
"AAcomp_IS";1.0
"AAcomp_IT";0.0
"AAcomp_IW";0.0
"AAcomp_IY";0.0
"AAcomp_IV";1.0
"AAcomp_LA";1.0
"AAcomp_LR";1.0
"AAcomp_LN";1.0
