"Attribute";"Weight"
"AAindex_ARGP820101_avg";0.0
"AAindex_ARGP820101_min5";0.0
"AAindex_ARGP820101_min10";0.0
"AAindex_ARGP820101_min15";1.0
"AAindex_ARGP820101_max5";1.0
"AAindex_ARGP820101_max10";1.0
"AAindex_ARGP820101_max15";1.0
"AAindex_BULH740101_avg";0.0
"AAindex_BULH740101_min5";0.0
"AAindex_BULH740101_min10";0.0
"AAindex_BULH740101_min15";1.0
"AAindex_BULH740101_max5";0.0
"AAindex_BULH740101_max10";1.0
"AAindex_BULH740101_max15";1.0
"AAindex_CHAM820102_avg";1.0
"AAindex_CHAM820102_min5";1.0
"AAindex_CHAM820102_min10";1.0
"AAindex_CHAM820102_min15";1.0
"AAindex_CHAM820102_max5";1.0
"AAindex_CHAM820102_max10";1.0
"AAindex_CHAM820102_max15";0.0
"AAindex_CIDH920105_avg";1.0
"AAindex_CIDH920105_min5";0.0
"AAindex_CIDH920105_min10";0.0
"AAindex_CIDH920105_min15";0.0
"AAindex_CIDH920105_max5";0.0
"AAindex_CIDH920105_max10";0.0
"AAindex_CIDH920105_max15";0.0
"AAindex_EISD840101_avg";1.0
"AAindex_EISD840101_min5";1.0
"AAindex_EISD840101_min10";1.0
"AAindex_EISD840101_min15";1.0
"AAindex_EISD840101_max5";0.0
"AAindex_EISD840101_max10";0.0
"AAindex_EISD840101_max15";1.0
"AAindex_EISD860101_avg";0.0
"AAindex_EISD860101_min5";0.0
"AAindex_EISD860101_min10";0.0
"AAindex_EISD860101_min15";1.0
"AAindex_EISD860101_max5";1.0
"AAindex_EISD860101_max10";0.0
"AAindex_EISD860101_max15";1.0
"AAindex_EISD860102_avg";0.0
"AAindex_EISD860102_min5";1.0
"AAindex_EISD860102_min10";1.0
"AAindex_EISD860102_min15";1.0
"AAindex_EISD860102_max5";1.0
"AAindex_EISD860102_max10";0.0
"AAindex_EISD860102_max15";0.0
"AAindex_EISD860103_avg";1.0
"AAindex_EISD860103_min5";1.0
"AAindex_EISD860103_min10";0.0
"AAindex_EISD860103_min15";1.0
"AAindex_EISD860103_max5";1.0
"AAindex_EISD860103_max10";1.0
"AAindex_EISD860103_max15";1.0
"AAindex_FAUJ830101_avg";0.0
"AAindex_FAUJ830101_min5";1.0
"AAindex_FAUJ830101_min10";0.0
"AAindex_FAUJ830101_min15";0.0
"AAindex_FAUJ830101_max5";1.0
"AAindex_FAUJ830101_max10";0.0
"AAindex_FAUJ830101_max15";0.0
"AAindex_GOLD730101_avg";0.0
"AAindex_GOLD730101_min5";0.0
"AAindex_GOLD730101_min10";0.0
"AAindex_GOLD730101_min15";0.0
"AAindex_GOLD730101_max5";0.0
"AAindex_GOLD730101_max10";0.0
"AAindex_GOLD730101_max15";0.0
"AAindex_GUYH850101_avg";0.0
"AAindex_GUYH850101_min5";1.0
"AAindex_GUYH850101_min10";1.0
"AAindex_GUYH850101_min15";1.0
"AAindex_GUYH850101_max5";0.0
"AAindex_GUYH850101_max10";1.0
"AAindex_GUYH850101_max15";1.0
"AAindex_HOPT810101_avg";1.0
"AAindex_HOPT810101_min5";1.0
"AAindex_HOPT810101_min10";1.0
"AAindex_HOPT810101_min15";0.0
"AAindex_HOPT810101_max5";1.0
"AAindex_HOPT810101_max10";1.0
"AAindex_HOPT810101_max15";1.0
"AAindex_JANJ790102_avg";0.0
"AAindex_JANJ790102_min5";0.0
"AAindex_JANJ790102_min10";0.0
"AAindex_JANJ790102_min15";1.0
"AAindex_JANJ790102_max5";0.0
"AAindex_JANJ790102_max10";1.0
"AAindex_JANJ790102_max15";1.0
"AAindex_JOND750101_avg";0.0
"AAindex_JOND750101_min5";0.0
"AAindex_JOND750101_min10";0.0
"AAindex_JOND750101_min15";1.0
"AAindex_JOND750101_max5";0.0
"AAindex_JOND750101_max10";0.0
"AAindex_JOND750101_max15";1.0
"AAindex_KYTJ820101_avg";0.0
"AAindex_KYTJ820101_min5";1.0
"AAindex_KYTJ820101_min10";0.0
"AAindex_KYTJ820101_min15";1.0
"AAindex_KYTJ820101_max5";0.0
"AAindex_KYTJ820101_max10";1.0
"AAindex_KYTJ820101_max15";0.0
"AAindex_LAWE840101_avg";0.0
"AAindex_LAWE840101_min5";1.0
"AAindex_LAWE840101_min10";0.0
"AAindex_LAWE840101_min15";0.0
"AAindex_LAWE840101_max5";1.0
"AAindex_LAWE840101_max10";0.0
"AAindex_LAWE840101_max15";0.0
"AAindex_LEVM760101_avg";0.0
"AAindex_LEVM760101_min5";1.0
"AAindex_LEVM760101_min10";1.0
"AAindex_LEVM760101_min15";0.0
"AAindex_LEVM760101_max5";1.0
"AAindex_LEVM760101_max10";1.0
"AAindex_LEVM760101_max15";0.0
"AAindex_MANP780101_avg";0.0
"AAindex_MANP780101_min5";0.0
"AAindex_MANP780101_min10";0.0
"AAindex_MANP780101_min15";1.0
"AAindex_MANP780101_max5";1.0
"AAindex_MANP780101_max10";1.0
"AAindex_MANP780101_max15";0.0
"AAindex_MIYS850101_avg";1.0
"AAindex_MIYS850101_min5";1.0
"AAindex_MIYS850101_min10";1.0
"AAindex_MIYS850101_min15";1.0
"AAindex_MIYS850101_max5";0.0
"AAindex_MIYS850101_max10";1.0
"AAindex_MIYS850101_max15";1.0
"AAindex_NOZY710101_avg";1.0
"AAindex_NOZY710101_min5";0.0
"AAindex_NOZY710101_min10";1.0
"AAindex_NOZY710101_min15";0.0
"AAindex_NOZY710101_max5";0.0
"AAindex_NOZY710101_max10";1.0
"AAindex_NOZY710101_max15";1.0
"AAindex_OOBM770101_avg";1.0
"AAindex_OOBM770101_min5";0.0
"AAindex_OOBM770101_min10";1.0
"AAindex_OOBM770101_min15";0.0
"AAindex_OOBM770101_max5";1.0
"AAindex_OOBM770101_max10";0.0
"AAindex_OOBM770101_max15";0.0
"AAindex_OOBM770102_avg";0.0
"AAindex_OOBM770102_min5";1.0
"AAindex_OOBM770102_min10";0.0
"AAindex_OOBM770102_min15";1.0
"AAindex_OOBM770102_max5";0.0
"AAindex_OOBM770102_max10";0.0
"AAindex_OOBM770102_max15";1.0
"AAindex_OOBM770103_avg";1.0
"AAindex_OOBM770103_min5";1.0
"AAindex_OOBM770103_min10";0.0
"AAindex_OOBM770103_min15";1.0
"AAindex_OOBM770103_max5";1.0
"AAindex_OOBM770103_max10";1.0
"AAindex_OOBM770103_max15";0.0
"AAindex_OOBM770104_avg";1.0
"AAindex_OOBM770104_min5";0.0
"AAindex_OOBM770104_min10";1.0
"AAindex_OOBM770104_min15";0.0
"AAindex_OOBM770104_max5";0.0
"AAindex_OOBM770104_max10";1.0
"AAindex_OOBM770104_max15";1.0
"AAindex_OOBM770105_avg";1.0
"AAindex_OOBM770105_min5";0.0
"AAindex_OOBM770105_min10";1.0
"AAindex_OOBM770105_min15";1.0
"AAindex_OOBM770105_max5";1.0
"AAindex_OOBM770105_max10";0.0
"AAindex_OOBM770105_max15";0.0
"AAindex_OOBM850103_avg";1.0
"AAindex_OOBM850103_min5";1.0
"AAindex_OOBM850103_min10";1.0
"AAindex_OOBM850103_min15";1.0
"AAindex_OOBM850103_max5";1.0
"AAindex_OOBM850103_max10";0.0
"AAindex_OOBM850103_max15";0.0
"AAindex_OOBM850104_avg";0.0
